ethnicity,Recipe Name,instructions,ingredients,image,descriptor,category
Southern Recipes,Fresh Southern Peach Cobbler,"Classic peach cobbler is always a hit when peaches are at their peak. This particular cobbler has over 3,000 five-star ratings, so we're confident you'll be thrilled with the results, too. A warm mixture of sweetened, juicy peaches is topped with a biscuit-like dough and sprinkled in cinnamon sugar. Although it's made from scratch with fresh peaches, this easy peach cobbler is incredibly simple and comes together in just one hour. No fresh peaches? See below for tips on using canned or frozen peaches during the off season. A cobbler — not to be confused with a crisp or crumble — is a deep-dish fruit dessert with a sweetened fruit filling that is topped off with a biscuit-like dough. The dough may cover the entire dish or be dropped by the spoonful, earning it the name ""cobbler"" for its resemblance to a cobblestone street. It gives you the same fruit-and-pastry combination as pie, but without all the effort. In the case of peach cobbler, fresh, frozen, or canned peaches may be combined with sugar, spices, lemon juice, and cornstarch (for thickening). As with all cobblers, it's finished off with a biscuit-like topping and sprinkled with a cinnamon-sugar mixture. Although it's hard to beat a ripe, juicy peach during peak season, canned (well-drained) and frozen peaches (thawed and drained) make a great alternative when fresh is not an option. Reviewers say they had success with both canned and frozen peaches:,Picking a perfectly ripe peach can seem tricky, but you can rely on three simple sensory cues: look, touch, and smell. A ripe peach will have a golden-hue near the stem, it should give slightly to your grip, and it will have a sweet and fragrant smell. If your peaches aren't ripe, here's the good news: They will continue to ripen with a little patience. Place unripe peaches on the counter stem-side-down at room temperature until ripe. Most folks choose to peel their peaches, but you can absolutely leave the skin on. The skin will soften as it bakes and be far less noticeable once cooked. If you do choose to peel them you can do so one of two ways:,It just wouldn’t be summer without a homemade peach cobbler, according to culinary developer and test kitchen expert Nicole McLaughlin (a.k.a. NicoleMcMom). Here are a few of her favorite tips and tricks for a perfect cobbler every time:,While it is best right out of the oven (with a scoop of vanilla ice cream, of course!), cobbler will keep covered in the fridge for up to four days. To reheat, microwave to your desired temperature or bake at 350 degrees F (177 degrees C) for about 20 minutes, or until warmed through. ""Coming from the Peach State, I'm really picky about peach cobbler,"" says reviewer AlliePeacock. ""This recipe is fantastic!"",""Last summer I also made batches of the filling and then froze it, and had delicious cobbler all winter long,"" says reviewer Travis Halling. Editorial contributions by Melanie Fincher and Corey Williams,Gather all ingredients. Preheat the oven to 425 degrees F (220 degrees C). Combine peaches, 1/4 cup white sugar, 1/4 cup brown sugar, 1/4 teaspoon cinnamon, nutmeg, lemon juice, and cornstarch in a large bowl; toss to coat evenly, and pour into a 2-quart baking dish. Bake in preheated oven for 10 minutes. Meanwhile, combine flour, 1/4 cup white sugar, 1/4 cup brown sugar, baking powder, and salt in a large bowl. Blend in butter with your fingertips or a pastry blender until mixture resembles coarse meal. Stir in water until just combined. Remove peaches from oven, and drop spoonfuls of topping over them. Mix 3 tablespoons white sugar and 1 teaspoon cinnamon together in a small bowl; sprinkle over entire cobbler. Bake in the preheated oven until topping is golden, about 30 minutes.","8 fresh peaches - peeled, pitted and sliced into thin wedges, ¼ cup white sugar, ¼ cup brown sugar, ¼ teaspoon ground cinnamon, ⅛ teaspoon ground nutmeg, 1 teaspoon fresh lemon juice, 2 teaspoons cornstarch, 1 cup all-purpose flour, ¼ cup white sugar, ¼ cup brown sugar, 1 teaspoon baking powder, ½ teaspoon salt, 6 tablespoons unsalted butter, chilled and cut into small pieces, ¼ cup boiling water, 3 tablespoons white sugar, 1 teaspoon ground cinnamon",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F0af90357122f0d74b29e329592dc2484%2F1694232451825tempImageHbCGuT.png&q=60&c=sc&orient=true,"This peach cobbler recipe is something I've perfected over the years. It's loved by all. Use fresh Georgia peaches, of course!",Desserts
Southern Recipes,Sweet Potato Pie,"There's nothing like a freshly baked sweet potato pie to usher in the holiday season. The autumnal dessert just tastes like home, doesn't it? This top-rated sweet potato pie recipe, which is subtly spiced with ingredients you probably already have on hand, has been beloved by the Allrecipes community for decades. Learn how to make, store, freeze, and serve the best sweet potato pie of your life with this community favorite recipe. If you have fresh sweet potatoes and a few kitchen staples, you likely have everything you need to make this homemade sweet potato pie. Sweet potato and pumpkin pies are both autumnal desserts that are popular during the cooler months, particularly during the holiday season. Pumpkin pie has a milder flavor that's typically flavored with a lot of spices. Sweet potatoes are naturally a bit sweeter and flavorful, so sweet potato pie doesn't usually feature as many spices. Pumpkin pie is also generally quite dense, while it's sweet potato-based counterpart is slightly more airy. It's easier than you think to make a bakery-worthy sweet potato pie. You'll find the full recipe below, but here's a brief overview of what you can expect:,Yes, you can make sweet potato pie ahead of time! It's a great idea if you're prepping for a holiday and want to conserve oven space on the big day. Store sweet potato pie in the fridge, covered tightly in storage wrap or aluminum foil, for three to four days. You should refrigerate the pie as soon as it has cooled to room temperature. You can absolutely freeze sweet potato pie — and you should if you want to get a jump-start on holiday baking. To freeze sweet potato pie, bake it in an aluminum pie plate (aluminum is thinner than ceramic alternatives, so it will help the pie freeze faster and prevent the development of ice crystals). Cover the cooled pie in several layers of storage wrap. Top the storage wrap with a layer of aluminum foil. Thaw in the fridge overnight. ""This pie lasted all of about 5 minutes in my house,"" says CALLMEVAN. ""Everybody enjoyed a change from the usual pumpkin pie."",""Smells terrific while it's baking and the taste is amazing! We topped ours with real whipped cream mixed with a little vanilla."",""This is a wonderful recipe,"" raves Geri. ""The first time I followed the directions exactly. It was really good. The second time I used the blender to mix all of the ingredients and it was even better."",Editorial contributions by Corey Williams,Place whole sweet potato in pot and cover with water; bring to a boil. Boil until tender when pierced with a fork, 40 to 50 minutes. Preheat the oven to 350 degrees F (175 degrees C). Remove sweet potato from the pot and run under cold water. Remove and discard skin. Break sweet potato flesh apart and place in a bowl. Add butter and mix with an electric mixer until well combined. Add sugar, milk, eggs, nutmeg, cinnamon, and vanilla; beat on medium speed until mixture is smooth. Pour filling into unbaked pie crust. Bake in the preheated oven until a knife inserted in the center comes out clean, 55 to 60 minutes. Remove from the oven and let cool before serving. Pie will be puffed up like a soufflé when you remove it from the oven, but will deflate as it cools.","1 (1 pound) sweet potato, with skin, ½ cup butter, softened, 1 cup white sugar, ½ cup milk, 2 large eggs, ½ teaspoon ground nutmeg, ½ teaspoon ground cinnamon, 1 teaspoon vanilla extract, 1 (9 inch) unbaked pie crust",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Ffde27cbe6539906ece0a2d176650864c%2F1685384116352IMG_1349.jpeg&q=60&c=sc&orient=true,"This sweet potato pie recipe was shared with me by a special friend in Atlanta, GA. It has long been a favorite, and everyone who tastes it says it is the best they've ever had.",Desserts
South African,Zimbabwean Chicken and Vegetable Soup,"Heat the olive oil over medium heat in a large soup pot; cook and stir the onion in the hot oil until translucent, about 5 minutes. Whisk 1/2 cup of vegetable stock and the peanut butter into the onions until the mixture is smooth. Beat in remaining vegetable stock, diced tomatoes with their liquid, and crushed red pepper flakes; bring to a boil, reduce heat to medium low, and cook at a simmer for 30 minutes, stirring occasionally. Stir in the cabbage, sweet potato, carrot, and turnip; simmer, stirring occasionally, until the vegetables are tender, about 30 more minutes. Stir in the okra and chicken and simmer until the okra is tender, about 30 additional minutes.","1 tablespoon olive oil, 1  onion, diced, 4 cups vegetable stock, divided, ½ cup peanut butter, 2 cups canned diced tomatoes, with juices, ¼ teaspoon crushed red pepper flakes, or more to taste, 1 cup finely chopped cabbage, 1 cup chopped sweet potato, 1 cup peeled and chopped carrot, 1 cup peeled and chopped turnip, 1 cup chopped okra, 1 cup chopped cooked chicken, or to taste",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7839371.jpg&q=60&c=sc&orient=true,This hearty and delicious soup combines a wonderful variety of vegetables with peanut butter and a few red pepper flakes for unexpected flavors and just the right amount of kick.,"Soups, Stews and Chili Recipes"
South African,South African Bobotie,"Preheat oven to 350 degrees F (175 degrees C). Heat oil in a skillet over medium-high heat; add onion and saute until browned, about 5 minutes. Add ground beef to onion and saute until browned, about 5 minutes. Soak bread in 1/4 cup milk in a small bowl, mash, and add to ground beef mixture; stir in 1/2 of beaten egg, raisins, vinegar, sugar, turmeric, salt, curry powder, and ground black pepper. Transfer beef mixture to glass baking dish; insert bay leaves. Bake in preheated oven for 30 minutes. Whisk remaining 1/2 egg and remaining 1/4 cup milk together in a small bowl; pour over meat mixture and return to oven for 30 minutes. Serve with chutney. Mutton can be substituted for the ground beef. Lemon juice can be substituted for the vinegar.","1 tablespoon oil, or as needed, 1  onion, chopped, 1 pound ground beef, ½ slice bread, ½ cup milk, divided, 1  egg, beaten, divided, ¼ cup seedless raisins , 1 tablespoon white vinegar, 2 teaspoons white sugar, 1 teaspoon ground turmeric, 1 teaspoon salt, ½ teaspoon curry powder, ¼ teaspoon ground black pepper, 2  bay leaves, 1 ½ tablespoons chutney",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8975392.jpg&q=60&c=sc&orient=true,"A classic South African entree. While not particularly spicy, the dish has complex flavors with the sweetness of raisins contrasting the curry. Serve with yellow rice.",Cuisine
South African,Gisela's Butternut Squash Soup,"Melt butter in a large saucepan or soup pot over medium heat, and cook and stir the onion until translucent, about 5 minutes. Pour in the chicken broth, and stir in the butternut squash cubes, orange juice, and orange zest. Bring to a boil, reduce heat, and simmer until the squash cubes are tender, 15 to 20 minutes. Pour the soup into a blender, filling the pitcher no more than halfway full. Hold down the lid of the blender with a folded kitchen towel, and carefully start the blender, using a few quick pulses to get the soup moving before leaving it on to puree. Puree in batches until smooth and pour back into the pot. Alternately, you can use a stick blender and puree the soup right in the cooking pot. Whisk in sour cream until smooth, and season to taste with salt and pepper. Heat over medium-low heat until almost simmering, and serve hot. The number of servings is largely dependent on the size of your butternut, so it can be a good idea to double the recipe for soup for a group--it's always a big hit!,Substitute vegetable stock for chicken broth to make a vegetarian soup.","2 tablespoons butter, 1  onion, finely chopped, 1 (14.5 ounce) can chicken broth, 1 (2 pound) butternut squash - peeled, seeded, and cut into 1-inch cubes, 1  orange, juiced, 1  orange, juiced and zested, 3 tablespoons sour cream,   salt and pepper to taste",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9183157.jpg&q=60&c=sc&orient=true,"This is a recipe given to me by my mother before she passed away. As with anything involving butternut it's a little time intensive but it's well worth it! So creamy and delicious! Garnish with croutons and/or parsley, and serve with garlic bread.",Vegetable Soup Recipes
South African,Chakalaka,"Heat oil in a skillet over medium heat; stir in onions and bell peppers. Cook and stir until the onion has softened and turned translucent, about 5 minutes. Add carrots, tomatoes, green chiles, water, bouillon cube, curry powder, chili powder, salt, and pepper. Cook until mixture is well combined and thickened, 15 to 20 minutes.","1 tablespoon oil, or as needed, 3 medium onions, diced, 2 medium green bell peppers, diced, 3 medium carrots, diced, 3 medium tomatoes, diced, 2 small Thai green chiles, chopped, ¼ cup water, 1 cube vegetable bouillon, 1 teaspoon curry powder, or to taste, 1 teaspoon chili powder,   salt and ground black pepper to taste",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F407723.jpg&q=60&c=sc&orient=true,This is a staple food in South Africa as well as other parts.,Cuisine
South African,Pumpkin Soufflé Casserole,"Preheat the oven to 450 degrees F (230 degrees C). Grease a 9-inch square baking dish. Beat sugar, butter, and eggs with an electric mixer until smooth and creamy. Mix in pumpkin purée until well combined. Add milk, cake flour, and baking powder and mix until smooth. Pour mixture into the prepared baking dish and sprinkle cinnamon over top. Bake in the preheated oven until set in the middle, 45 minutes to 1 hour. You can use margarine instead of butter. If you only have medium eggs, use four.","½ cup white sugar, ½ cup unsalted butter, softened, 3 large eggs, 1 ½ cups pumpkin purée, 1 cup milk, ½ cup cake flour, 2 teaspoons baking powder, 1 pinch ground cinnamon, or more to taste",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4555929.jpg&q=60&c=sc&orient=true,This pumpkin soufflé casserole is reminiscent of a sweet pumpkin dish I had in South Africa.,Side Dish
South African,Ginger Malva Pudding,"Preheat oven to 400 degrees F (200 degrees C). Grease and flour a 9-inch cake pan. Combine 1 cup sugar, egg, and 1 tablespoon butter in a large bowl; beat with an electric mixer until creamy. Beat in apricot jam, vinegar, ginger, and baking soda. Add 1 cup milk and flour; beat until batter is smooth. Pour batter into the prepared pan. Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 35 minutes. Combine 1 cup milk, 1/2 cup butter, 1/2 cup sugar, and water in a saucepan over medium heat 5 minutes before pudding is done baking. Bring to a boil and stir until smooth. Pour hot sauce over pudding and let it sink into the pudding.","1 cup white sugar, 1  egg, 1 tablespoon butter, 1 tablespoon apricot jam, 1 tablespoon white vinegar, 2 teaspoons ground ginger, 1 teaspoon baking soda, 1 cup milk, 1 cup all-purpose flour",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2F29a470b6a48314b15f6dc62c87415da1%2F6582919.jpg&q=60&c=sc&orient=true,"This is a unique take on the traditional South African malva pudding. Serve hot with ice cream or whipped cream, or cold with hot homemade custard.",Cuisine
South African,South African Brown Pudding,"Preheat an oven to 350 degrees F (175 degrees C). Beat 2 cups sugar and eggs with an electric mixer in a large bowl until light and fluffy. Stir in the flour, baking powder, baking soda, salt, vinegar, and apricot jam. Pour in 2 cups of milk and stir until well combined. Spoon the batter into a greased, 2 quart oven-proof baking dish. Bake in the preheated oven for 60 to 70 minutes, or until a knife inserted into the center comes out clean. Pierce the baked pudding several times with a skewer or fork. Place 1 cup sugar, water, 1 cup milk, butter, and vanilla in a saucepan and stir over medium heat. When the mixture comes to a boil remove it from the heat and slowly pour the mixture over the hot pudding. Serve warm.","2 cups white sugar, 4  eggs, 2 cups flour, 2 teaspoons baking powder, 2 teaspoons baking soda, ½ teaspoon salt, 3 tablespoons distilled white vinegar, 2 tablespoons apricot jam, 2 cups milk",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7411423.jpg&q=60&c=sc&orient=true,A South African favorite! We call it 'Bruinpoeding' (Brown Pudding) in South Africa.,Cuisine
South African,South African Malvapoeding (Marshmallow Pudding),"Preheat oven to 350 degrees F (175 degrees C). In a small saucepan over low heat, melt 2 tablespoons butter or margarine together with vinegar and milk. Remove from heat, and set aside. Meanwhile, sift flour, baking soda, and salt together into a separate bowl. Beat 1 cup sugar and eggs with an electric mixer on high speed until fluffy and light colored, about 5 minutes. Gradually mix in the apricot jam. Fold the dry ingredients into the egg mixture alternately with warmed milk mixture using a spatula. Pour batter into a greased, 1 quart oven-proof baking dish. Bake approximately 45 minutes, or until a knife inserted into the center comes out clean. Place cream, butter, 1/2 cup sugar, and water in a saucepan and stir over moderate heat until the butter has melted and sugar is dissolved. Do not allow the mixture to boil. Remove pudding from the oven, pierce several times with a skewer or fork, and pour the hot cream mixture immediately over the pudding. Serve hot or cold.","2 tablespoons butter, 1 teaspoon white vinegar, ½ cup milk, 1 cup superfine sugar, 2  eggs, 1 tablespoon apricot jelly, 1 ⅓ cups cake flour, 1 teaspoon baking soda, 1 pinch salt",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7958223.jpg&q=60&c=sc&orient=true,"This rich, South African pudding contains no marshmallows, but probably got its name from its spongy texture! Delicious served hot or cold with cream.",Cuisine
South African,Tomato Bredie,"Heat oil in a large, heavy-bottomed saucepan over medium-high heat. Dredge lamb in flour; shake off excess. Cook lamb in hot oil until browned all over. Transfer lamb to a plate, reserving drippings in the pan. Cook and stir onion in drippings until soft, about 5 minutes. Mix in tomatoes. Return lamb chops to the saucepan; season with bay leaves, bouillon, salt, brown sugar, white peppercorns, black pepper, and Worcestershire sauce. Cover, reduce heat, and simmer for 1 hour and 15 minutes. Stir occasionally, making sure nothing sticks to the bottom of the pan. Stir in potatoes; continue cooking until potatoes are cooked and meat is tender, about 45 minutes more.","1 tablespoon vegetable oil, 3 ½ pounds lamb or mutton breast chops, chopped into portions, 2 tablespoons cake flour, 1 large onion, chopped, 2 ¼ pounds fresh tomatoes, chopped, 1 tablespoon white vinegar, 2  bay leaves, 1 cube beef bouillon cube, 1 teaspoon salt, 1 teaspoon brown sugar, 6  whole white peppercorns, ½ teaspoon freshly ground black pepper, 1 dash Worcestershire sauce, 2 medium potatoes, quartered (Optional)",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F3a8e7bb6a6b987e963ebe0444450b3ee%2F16884976485561000105031.jpg&q=60&c=sc&orient=true,"Tomato bredie is a popular South African meal and good winter fare. Bredie is an old Cape name for a dish of meat and vegetables stewed together so that the flavors intermingle. The gravy is rich, thick, and full-bodied and obtained by using meat with a fair amount of bone and fat, rolling it in flour, and browning it before the vegetables are added. The flavor improves if left a day or two before eating. Nice with brown rice.",Cuisine
South African,Cape Malay Pickled Fish,"Gather all ingredients. Heat oil in a large skillet over medium-high heat. Season fish with salt and fry in the hot skillet until fish is browned and flakes easily with a fork, about 5 minutes per side. Transfer to a plate. Add onions and garlic to the skillet and cook over medium heat until translucent, about 5 minutes. Add chile pepper, bay leaves, peppercorns, and allspice berries, then pour in vinegar and water and bring to a boil. Stir in brown sugar until dissolved. Season with curry powder, cumin, coriander, and turmeric. Taste and add brown sugar if desired. Arrange layers of fish and pickling mixture in a serving dish. Pour in pickling liquid to cover the top layer. Let cool to room temperature, about 30 minutes. Cover and refrigerate for at least 24 hours before serving.","½ cup vegetable oil for frying, 3 pounds cod fillets, cut into 2 to 3 ounce portions,   salt to taste, 2 large onions, peeled and sliced into rings, 2 cloves garlic, chopped, 1  red chile pepper, seeded and sliced lengthwise, 3 large bay leaves, 8  whole black peppercorns, 4  whole allspice berries, 2 cups red wine vinegar, ½ cup water, ½ cup packed brown sugar, or to taste, 2 tablespoons curry powder, 2 teaspoons ground cumin, 2 teaspoons ground coriander, 1 teaspoon ground turmeric",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7937925.jpg&q=60&c=sc&orient=true,"This recipe for pickled fish is traditionally served with hot cross buns or freshly baked bread for Easter in Cape Town, South Africa.",Breakfast and Brunch
Soul Food,Old-Time Kentucky Bacon Milk Gravy for Biscuits,"Heat bacon drippings in a skillet over medium heat; whisk flour into drippings until smooth. Reduce the heat to low and cook, stirring constantly so it doesn't burn, until roux is caramel brown in color, about 15 minutes. Stir in salt and black pepper. Add milk, 1/2 cup at a time, whisking until thoroughly blended after each addition. Bring gravy to a simmer, then whisk constantly until thick, smooth, and bubbling.","¼ cup bacon drippings, ¼ cup all-purpose flour, 1 teaspoon salt, or to taste, 1 teaspoon ground black pepper, or to taste, 4 cups milk",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F819e5dbdbd9fc700e76544cfb65f25e3%2F165219178616521917724108432638405762662644.jpg&q=60&c=sc&orient=true,"I grew up eating this milk gravy made with bacon grease. Everyone has heard of sausage gravy, but it doesn't compare to this. After frying your bacon for breakfast, use the bacon drippings to make true Kentucky biscuit gravy. Is it fattening? Oh yeah, you better believe it — but it's worth it! Pour it over biscuits and serve with crispy bacon and scrambled or fried eggs.",Side Dish
Soul Food,Southern Spicy Fried Chicken,"Sprinkle chicken pieces with salt and pepper; place them in a deep-sided baking dish. Whisk buttermilk, hot pepper sauce, and 1 teaspoon cayenne pepper together in a large bowl; pour over chicken, tossing to coat all sides. Cover the dish with plastic wrap; marinate in the refrigerator for about 2 hours. Remove chicken from buttermilk mixture; shake off excess. Discard remaining buttermilk mixture. Place flour, 1 tablespoon cayenne pepper, garlic powder, paprika, salt, and pepper in a large resealable plastic bag; shake well to combine. Place 2 or 3 pieces of chicken at a time into the plastic bag and shake well to coat chicken pieces with seasoned flour. Heat oil in a deep fryer or large saucepan to 350 degrees F (175 degrees C). Gently place chicken pieces into hot oil and fry until chicken is cooked through and golden brown, about 8 to10 minutes for breasts and wings, and 13 to 15 minutes for thighs and drumsticks. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Drain fried chicken on paper towels. Nutrition data for this recipe includes the full amount of breading ingredients. The actual amount of breading consumed will vary. We have determined the nutritional value of oil for frying based on a retention value of 10% after cooking. The exact amount will vary depending on cooking time and temperature, ingredient density, and specific type of oil used.","1 (3 pound) whole chicken, cut into 10 pieces,   salt and ground black pepper to taste, 1 quart buttermilk, 2 tablespoons hot pepper sauce, 1 teaspoon cayenne pepper, 3 cups all-purpose flour, 1 tablespoon cayenne pepper, 2 teaspoons garlic powder, 1 teaspoon paprika,   salt and ground black pepper to taste,   vegetable oil for deep frying",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8207978.jpg&q=60&c=sc&orient=true,This spicy fried chicken recipe is finger-licking good! It's a keeper and a must-try.,Meat and Poultry
Soul Food,Perfect Mixed Greens,"Remove leaves from collard, mustard, and turnip greens; discard stems. Gently wash leaves in warm water to remove all soil and sand. Partially fill a clean sink with warm water; stir in 2 cups chicken broth and 3 tablespoons salt. Allow greens to soak in chicken broth mixture for 10 minutes. Scoop greens into a colander and allow to drain; do not rinse. Discard chicken broth mixture down the sink. Pour remaining 2 cups chicken broth into a large pot; mix in greens. Stir in vegetable oil, bacon bits, sugar, garlic, salt, and pepper; bring to a boil. Reduce heat to a simmer and cook, stirring occasionally, until greens are tender, 45 minutes to 1 hour.","2 bunches collard greens, 2 bunches mustard greens, 2 bunches turnip greens, 4 cups chicken broth, divided, 3 tablespoons salt, ½ cup vegetable oil, ½ cup cooked real bacon bits, ½ cup white sugar, 4 cloves garlic, sliced,   salt and pepper to taste",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Ff49ecfeff25ed63a7668addd3649b8b4%2F16744145100254D12DD43-1F34-49D1-BF5B-B812F1BDA193.jpeg&q=60&c=sc&orient=true,"These fresh mixed greens are delicious. The washing process is the most important part for these tender, tasty greens. Don't forget the sugar! You'll have the most perfect greens if you follow the directions exactly.",Side Dish
Soul Food,Southern Grits Casserole,"Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a large baking dish. Bring water to a boil in a large saucepan; stir in grits. Reduce the heat, cover, and simmer until liquid has been absorbed, about 5 minutes. Mix in 2 cups Cheddar cheese and 1/2 of the butter until melted. Cook sausage in a skillet over medium-high heat until browned and crumbly, 5 to 7 minutes. Drain and add to grits mixture. Whisk eggs and milk together in a bowl. Pour into the skillet used to cook the sausage. Lightly scramble eggs over medium-low heat, then mix into grits mixture. Pour grits mixture into the prepared baking dish. Dot with remaining butter, sprinkle with remaining 1 cup Cheddar, and season with salt and pepper. Bake in the preheated oven until lightly browned, about 30 minutes.","6 cups water 2 cups uncooked grits 3 cups shredded Cheddar cheese, divided ½ cup butter, cut into pieces, divided 1 pound ground pork sausage 12 large eggs ½ cup milk   salt and pepper to taste",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F1453cde6df5403e578650b1f4386bdaa%2F1678993280876A6F174D3-B95E-4FE5-A03A-85CEF5B1E982.jpeg&q=60&c=sc&orient=true,"You'll love this grits casserole with ground sausage and cheese, especially if you're from the South. When I cook it, I place it in the slow cooker to stay warm. There is nothing worse than cold grits for breakfast!",Side Dish
Soul Food,Southern-Style Buttermilk Fried Chicken,"Whisk together buttermilk, mustard, salt, pepper, and cayenne in a bowl. Pour buttermilk marinade into a resealable plastic bag. Add chicken pieces, coat with marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator for 2 to 8 hours. Combine flour, baking powder, garlic powder, and onion powder in another resealable plastic bag; shake to mix thoroughly. Working with one piece at a time, transfer marinated chicken to the dry ingredient bag, seal the bag, and shake well to coat. After all chicken pieces are coated, repeat the process by dipping them in buttermilk marinade and shaking in the dry coating again. Then heat oil in a large frying pan over medium-high heat. Place chicken on the pan. Fry chicken in batches in hot oil, turning chicken occasionally, until golden brown and juices run clear. An instant-read thermometer inserted into the meat should read at least 165 degrees F (74 degrees C). Serve hot and enjoy!,We have determined the nutritional value of oil for frying based on a retention value of 10% after cooking. The exact amount will vary depending on cooking time and temperature, ingredient density, and the specific type of oil used. The nutrition data for this recipe also includes the full amount of the marinade ingredients. The actual amount of the marinade consumed will vary.","2 cups buttermilk, 1 tablespoon Dijon mustard, 1 teaspoon salt, 1 teaspoon ground black pepper, 1 teaspoon cayenne pepper, 1  whole chicken, cut into pieces, 2 cups all-purpose flour, 1 tablespoon baking powder, 1 tablespoon garlic powder, 1 tablespoon onion powder, 5 cups vegetable oil for frying",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9427440.jpg&q=60&c=sc&orient=true,"This buttermilk fried chicken is a down-home recipe I have used for years, and I thought I would share it. The buttermilk marinade is terrific and is such a comfort food. This is not a recipe that can be done quickly, but the wait is well worth it!",Meat and Poultry
Soul Food,Soul Smothered Chicken,"Melt butter in a large skillet over medium-high heat. Season chicken pieces with 1 teaspoon salt and 1/2 teaspoon pepper. Place 3/4 cup flour in a shallow dish. Dredge chicken in flour, place in the skillet, and brown on all sides. Set chicken aside, and drain skillet, reserving about 1 tablespoon butter. Reduce skillet heat to medium-low, and stir in onions, carrots, celery, and garlic. Cook until tender, 5 minutes. Stir in 3 tablespoons flour, and cook 5 minutes more. Pour in chicken broth, season with cayenne pepper, and remaining salt and pepper. Bring to a boil, and reduce heat to low. Return chicken to the skillet, cover, and continue cooking until chicken juices run clear and gravy has thickened, about 30 minutes.","½ cup butter 1  whole chicken, cut into pieces 3 teaspoons salt, divided ¾ teaspoon ground black pepper, divided ¾ cup all-purpose flour 3 cups chopped yellow onions 2 cups chopped carrots 1 cup chopped celery 3 cloves garlic, chopped 3 tablespoons all-purpose flour 3 cups chicken broth ¼ teaspoon cayenne pepper",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Fa7c78ddcef7e05e57e0a43b53ad1ac40%2F1663377069860B4AAD-F33A-42F9-95C6-90759B99DC4B.jpeg&q=60&c=sc&orient=true,A favorite smothered chicken recipe. You can't just go to any restaurant and get this comforting dish like you would if you went down to the urban neighborhoods in Houston. This meal of browned chicken in a savory chicken gravy sauce is best when served over a bed of white rice.,Meat and Poultry
