recipe_id,ethnicity,Recipe Name,instructions,ingredients,image,descriptor,category
11,Vietnamese,Authentic Vietnamese Spring Roll,"Gather all ingredients. Soak rice noodlein cold water until soft, about minutes. Drain well; cut into -inch long pieces. Combine noodle pieces, chicken, shrimp, eggs, carrot, wood fungumushrooms, green onionin a large bowl. Add sugar, salt, black pepper; stir well. Soak rice paper wrapper in a shallow bowl of warm water to soften, about seconds. Place on a damp cloth laid out on a flat surface. Place filling mixture into the center of softened rice paper. Fold the bottom edge into the center, covering filling. Fold in opposing edgeand roll up tightly. Repeat with remaining rice paper wrappers, soaking, filling each one individually. Heat oil in a wok or large skillet over medium heat. Working in batcheof or, fry spring rollin hot oil until crisp, golden brown on both sides, about minutes. Drain on paper towels. Ground pork be used instead of chicken if desired. Shiitake mushroombe substituted for wood fungumushroomif desired. We have determined the nutritional value of oil based on a retention value of after cooking. Amount will vary depending on cooking time, temperature, ingredient density, specific type of oil used."," dried thin rice noodles, ground chicken, shrimp - washed, large eggs, carrot, grated, wood fungumushrooms, green onions, white sugar, salt, ground black pepper, rice paper wrappers, vegetable oil",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFimages.media-allrecipes.comFuserphotosF9.jpg&q=&c=sc&orient=true,"These Vietnamese fried spring rollare a recipe I learned while traveling through Vietnam. The ingredientare relatively simple, easy to find in any grocery store. I've cooked thiseveral timesince returning, it'alwaybeen a hit. They taste great with dipping sauce.",Appetizerand Snacks
12,Vietnamese,Vermicelli Noodle Bowl,"Whisk vinegar, fish sauce, sugar, lime juice, garlic, red pepper flaketogether in a small bowl; set sauce aside. Heat oil in a small skillet over medium heat. Add shallots; cook, stir until lightly caramelized, about minutes. Preheat an outdoor grill for medium heat, lightly oil the grate. Skewer shrimp on each skewer, grill until they turn pink, are charred on the outside, to minuteper side. Set aside. Bring a large pot of water to a boil. Add vermicelli noodleand cook until minutes. Drain noodleand rinse with cold water, stirring to separate noodles. Assemble vermicelli bowl by placing cooked noodlein one half of each serving bowl; place lettuce, bean sproutin the other half. Top each bowl with cucumbers, carrots, daikon, peanuts, cilantro, Thai basil, mint, caramelized shallots. Serve with shrimp skewerand sauce on the side. Pour sauce on top, tosthoroughly to coat before eating."," white vinegar, fish sauce, white sugar, lime juice, clove garlic, red pepper flakes, canola oilshallots, skewers, medium shrimp, rice vermicelli noodles, lettuce, bean sprouts, English cucumber, pickled carrots, diakon radish, crushed peanuts, cilantro, Thai basilfresh mint",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFimages.media-allrecipes.comFuserphotosF.jpg&q=&c=sc&orient=true,"Thivermicelli bowl combinefresh herbs, rice vermicelli noodles, cucumber, bean sprouts, grilled shrimp. Tossed with a tangy sweet-and-sour sauce, it'a simple, satisfying dinner that'perfect for hot weather.",Cuisine
13,Turkish,Iskender Kebab,"Preheat the oven to degreeF . Arrange pita bread on a baking. Bake pitain the preheated oven until lightly toasted; cut into bite-sized pieceand keep warm. Heat oil in a skillet over medium heat. Stir in chicken, onion, garlic; cook until chicken icooked through, juicerun clear, about minutes. Mix in tomato purée; season with cumin, salt, pepper. Continue to cook, stir for a few minutes. Arrange toasted pita piecein a serving dish. Drizzle with melted butter, top with chicken mixture. Garnish with yogurt, parsley to serve."," pita bread rounds, olive oil, skinless, boneless chicken breast, medium onions clove garlic, tomato paste, ground cumin, salt, ground black pepper, butter, Greek yogurt, fresh parsley",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFpublic-assets-ucg.meredithcorp.ioFbeafbbfaadfebcdbaF.jpg&q=&c=sc&orient=true,"ThiIskender kebab isimilar to one I tried at a Turkish restaurant in London. It itraditionally made with lamb or doner meat but thichicken version idelicious. I later discovered that thidish wanamed after Alexander the Great, whom the Persiancalled ""Iskender."" Apparently, it wahifavorite food.",Cuisine
14,Turkish,Turkish Red Lentil 'Bride' Soup,"Melt butter in a large saucepan over low heat. Cook onionin hot butter until golden brown, about minutes. Stir paprika, lentils, bulgur into onionto coat with butter. Add tomato paste, vegetable stock, cayenne pepper; bring to a boil, cook until soft, creamy, about hour. Crumble dried mint leaveinto soup; stir, remove from heat. Ladle into bowland garnish with lemonand fresh mint to serve."," butter, onions, paprika, red lentils, fine bulgur, tomato paste, vegetable stock, cayenne pepper, dried mint leaves, lemonfresh mint",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFimages.media-allrecipes.comFuserphotosF.jpg&q=&c=sc&orient=true,"A wonderful, easy traditional red lentil Turkish soup recipe. Garnish with lemonand fresh mint leaves.",Soup Recipes
15,Turkish,Tava or Turkish Stew,"Preheat oven to degreeF . Lightly grease a medium casserole dish. Heat oil in a skillet over medium heat, cook the chicken until juicerun clear. Puree the roasted red pepperin a blender or food processor until smooth. In the prepared casserole dish, mix the cooked chicken, roasted red peppers, tomatoes, mushrooms, onion, garlic. Season with salt, pepper. Drizzle with remaining olive oil, top with mozzarella cheese. Bake minutein the preheated oven, until cheese imelted, bubbly."," olive oil, boneless chicken breast, roasted red bell peppers, tomatoe, juicejar mushrooms, onion, garlic, salt, pepper, shredded mozzarella cheese",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFpublic-assets-ucg.meredithcorp.ioF9f9a9ed9fa9bffdF9.jpg&q=&c=sc&orient=true,"Thiia deliciouTurkish dish that wacreated for Ameripalateclose to the military base. The recipe for tava doenot have to be exact, you add more or lesof your ingredientto taste. The secret ingredient for the Turkish taste ithe red peppers. Serve over rice.","Soups, Stewand Chili Recipes"
16,Turkish,Ekmek Turkish Bread,"To make the starter: Place flour, water in a bowl with a lid; stir well. Cover, let sit at room temperature overnight. The next day, add flour, water to the bowl. Cover, let sit at room temperature overnight. On the third day, add flour, water to the bowl. Cover, let sit at room temperature overnight. To make the dough: In a large bowl, dissolve yeast, sugar in warm water. Let stand until creamy, about minutes. Break the starter into small pieceand add it to the yeast mixture. Stir in of flour, salt. Stir in the remaining flour, at a time, beating well after each addition. When the dough hapulled together, turn it out onto a lightly floured surface, knead until smooth, elastic, about minutes. Sprinkle a little flour over the dough, cover it with a dry cloth. Let it rise until doubled in size. Put the dough back onto a lightly floured work surface, punch out the air. Divide the dough in half, knead each piece for to minutes. Shape each piece into a tight oval loaf. Sprinkle two panwith corn meal. Roll, stretch the two loaveuntil they are x-inch ovals. Dust the topof the loavewith flour. Cover with a dry cloth, let them rise in a warm place until doubled in size. Meanwhile, preheat the oven to degreeF . Bake in the preheated oven for to minutes. Mist with water timein the first minutes. Loaveare done when their bottomsound hollow when tapped. Let cool on wire rackbefore serving."," bread flour, water, active dry yeast, white sugar, warm water, bread flour, salt",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFpublic-assets-ucg.meredithcorp.ioFbaebb99afbbfaaF.jpg&q=&c=sc&orient=true,"Ekmek ia light, slightly sour flatbread that tastewonderful with Havarti cheese. ThiTurkish bread recipe usea starter that fermentfor four days. I recommend using a pizza stone to bake the loaveon. If don't have a pizza stone, cookiewill work also. The recipe seemcomplicated, but it'a lot easier than it appears.",Bread
17,Turkish,Chef John'Baklava,"Place walnuts, pistachios, cinnamon in bowl of a food processor. Pulse on, off until mixture ichopped but not too fine. Brush bottom of 9-inch round baking pan with melted butter. Place one round of phyllo dough in the pan; add a second round of dough. Drip about of melted butter over the top. Add moreand drizzle with butter. Add moreand drip with butter creating layerfor the bottom. ,Sprinkle with of the nut mixture. Top with a of phyllo, drip with melted butter; repeat with more of filo. Add another of the nut mixture. Place another of phyllo on the nuts; drip with butter. Top with another, drip with butter. Add the remaining nut mixture. Top withof phyllo; drip with butter. Add mores; drip with butter. Top with the lastand drizzle generously with the remaining butter. Cover pan with plastic, refrigerate until completely chilled, about hour. Preheat oven to degreeF . Cut baklava into about diamond-shaped pieceapproximately the same size. Bake in preheated oven until browned, crisp, about an hour. Place sugar, honey, clovein a saucepan. Pour in water. Place pan over medium-high heat, whisk to combine. Bring to a boil; remove from heat. Whisk in vanilla, orange blossom water. After baklava harested minutes, ladle syrup over the top. Cool down to room temperature before serving. If you want to use homemade phyllo dough, usein the baklava. Get the recipe for Chef John'Homemade Phyllo Dough."," walnut halves, shelled pistachios, ground cinnamon",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFpublic-assets.meredithcorp.ioF9f9bb99ceFIMG_9.jpeg&q=&c=sc&orient=true,"I tend to enjoy a generouratio between nutand pastry, athat makeme feel a little bit better about the copiouamountof sugar in this, but above, beyond that, I think thiapproach producethe best texture. You use amany layerof filo ayou want, but be careful, since too many may not cook through, the only way to mesthiup ito undercook the dough. The top, bottom layerneed to dry out, thoroughly crisp up, otherwise, once the syrup getladled over, you'll have a soggy mess.",Cuisine
18,Turkish,Bazlama - Turkish Flat Bread,"Dissolve the yeast, sugar, salt in the warm water. Add the water, yogurt to the flour, mix well. The dough will be soft but not sticky. Turn the dough out onto a lightly floured surface, shape it into a ball. Cover the dough with a damp cloth, allow it to rise at room temperature for hours. Cut the dough into four portions. Shape the dough into roundand flatten each round athough you're making pizza dough. Cover the roundwith a damp cloth, let the dough rest for minutes. Heat a cast iron skillet or griddle over medium-high heat. Place one dough round in the skillet, bake until brown spotappear on the bottom, about minute. Flip the bread, bake for an additional minute. Remove the bread, wrap it in a clean kitchen towel to keep warm. Repeat with the remaining dough rounds. Store any leftover flatbreadin an airtight container. If you can't find Greek-style yogurt , use regular yogurt, reduce the water in the recipe to s.","package active dry yeast, white sugar, salt, warm water, Greek-style yogurt, all-purpose flour",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFpublic-assets.meredithcorp.ioFbbc9cbccbadaebebcF9999.jpg&q=&c=sc&orient=true,"Bazlama ia simple, deliciouvillage bread that I learned to prepare after moving to Turkey. Normally it icooked in an outdoor oven but it workjust awell on the stove top. It'best served warm.",Bread
19,Turkish,Turkish Red Lentil Soup with Mint,"Heat oil in a large pot over high heat. Add onion, sauté until beginning to soften, about minutes. Stir in garlic, cook for minutes. Add diced tomatoeand cook for minutes. Stir in chicken stock, lentils, bulgur, rice, tomato paste, mint, paprika, cayenne pepper, salt, black pepper; bring to a boil. Reduce the heat to medium-low, simmer until lentiland rice are tender, about minutes. Purée soup with an immersion blender until smooth. To make a vegan version of thisoup, use vegetable broth instead of chicken broth. Bulgur wheat ia dried grain that be found in the bulk sectionof most health food stores, international markets in the international section of your grocery store."," olive oil, onion, clove garlic, diced tomatoes, chicken stock, red lentils, fine bulgur, rice, tomato paste, dried mint, paprika, cayenne pepper, salt, ground black pepper",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFpublic-assets.meredithcorp.ioF9ecc9daadee9efbebafF999.jpg&q=&c=sc&orient=true,"ThiTurkish red lentil soup recipe idivine. The soup hadynamic flavorand a lovely, mild heat, much like one you'd find at a Turkish restaurant. I make a big batch, eat it for lunch with crusty bread, salad for an entire week. Serve with additional mint, lemon wedgeif desired.",Soup Recipes
20,Turkish,Homemade Manti ,"Make dough: Combine flour, salt in a large bowl. Add eggand water, mixing well with your hands. Add more water, if needed, to form a soft dough. Cover, set aside for at least minutes. Make filling: Shred onionand place them in a colander or sieve set over a bowl; drain, discard juice. Combine drained onion, ground beef, salt, pepper in a medium bowl; mix well with a spoon until mashed. Set filling aside. Lightly flour a work surface, a large plate. Divide dough in half. Working with one piece at a time, roll dough on the floured surface into a rectangle athin apossible. Cut into -inch squareusing a knife or pastry wheel. Place about filling in the center of each square. Gather the edgeof dough, them together at the top to form a bundle. Transfer manti to the prepared plate; sprinkle more flour on top to prevent sticking. Make oil: Heat oil, red pepper flakein a small skillet over low heat just until pepper flakebegin to color oil. Remove from heat, keep warm. Make sauce: Stir together yogurt, garlic in a small bowl; set aside. Bring a large pot of salted water to a boil over medium-high heat. Cook manti in boiling water until filling ino longer pink, dough itender, to minutes. Drain well. Divide manti onto plates. Spoon yogurt sauce over manti, drizzle with pepper oil. You use ground lamb or other ground meat instead of beef, if you prefer."," all-purpose flour, plusalt, large eggs, water",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFimages.media-allrecipes.comFuserphotosF9.jpg&q=&c=sc&orient=true,"Thimanti recipe for dumplingtaketime to prepare, but I'm sure you'll agree it iworth it. Manti ia popular meal in my country. Afiyet olsun !",Main Dishes
21,Turkish,Turkish Chicken Kebabs,"Whisk yogurt, garlic, olive oil, lemon juice, ketchup, red pepper flakes, salt, cumin, black pepper, paprika, cinnamon together in a large bowl. Place chicken thigh halveinto the yogurt marinade, coat them thoroughly on all sides. Cover the bowl with plastic wrap, refrigerate, to hours. Preheat an outdoor grill for medium-high heat, lightly oil the grate. Using skewerfor each kebab, thread half of the chicken thighonto each pair of skewermaking a fairly thick ""log"" shape. Place kebabon the preheated grill. Do not try to turn them until they begin to unstick from the grill minutes. Turn kebaband grill the other side for to minutes. Continue cooking, turning until chicken ino longer pink in the center, about minutemore. An instant-read thermometer inserted into the center should read at least degreeF ."," whole-milk Greek yogurt, clove garlic, olive oil, freshly squeezed lemon juice, ketchup, Aleppo red pepper flakes, kosher salt, ground cumin, freshly ground black pepper, paprika, ground cinnamon, boneless, skinleschicken thighs, long metal skewers",https://imagesvc.meredithcorp.io/v/mm/image?url=httpsAFFpublic-assets.meredithcorp.ioFccba9a99cebfdfebdbF_.jpg&q=&c=sc&orient=true,"Thichicken kebab recipe usea flavorful, yogurt-based marinade. I'd like to think that all the chicken coming off Amerigrillthisummer will be atasty, juicy, tender athese. Even inexperienced grillerproduce impressive results! I'm not sure how ""Turkish"" thii— it'loosely based on a lamb marinade I've used for a long time.",Cuisine
